City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
268,Jalingo,NG,79.63,broken clouds,8.8833,11.3667,Debright Motel
269,Alihe,CN,60.21,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
270,Podor,MR,92.68,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
271,Khani,GE,71.17,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
272,Baiyin,CN,58.08,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
273,Lorengau,PG,82.11,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
274,Champerico,GT,91.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
275,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
276,Sorland,NO,53.67,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
277,Naze,JP,78.3,broken clouds,28.3667,129.4833,Amami Port Tower Hotel
278,Nantucket,US,77.02,clear sky,41.2835,-70.0995,Jared Coffin House
279,Tiksi,RU,42.1,few clouds,71.6872,128.8694,Arktika
280,Te Horo,NZ,49.68,scattered clouds,-40.8084,175.1233,Cottage 103
281,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
282,Fomboni,KM,76.19,clear sky,-12.28,43.7425,Auberge les abou
283,Flinders,AU,53.19,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
284,Cienfuegos,CU,91.54,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
285,La Cruz,MX,91.47,broken clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
286,Krasnoselkup,RU,59.05,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
287,Ponta Delgada,PT,81.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
288,Caravelas,BR,72.59,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
289,Margate,GB,68.18,clear sky,51.3813,1.3862,Premier Inn Margate hotel
290,Pemberton,CA,89.2,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
291,Kisesa,TZ,77.2,overcast clouds,-3.0833,34.15,
292,Kirakira,SB,73.6,broken clouds,-10.4544,161.9205,SanBiz Lodge
293,Saint-Joseph,RE,66.58,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
294,Sri Aman,MY,77.05,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
295,Kishapu,TZ,79.09,broken clouds,-3.6167,33.8667,Special seat Guest House
296,Rio Grande,BR,57.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
297,Ambilobe,MG,69.91,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
298,Sechura,PE,76.62,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
299,Datong,CN,66.16,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
300,Poum,NC,68.74,scattered clouds,-20.2333,164.0167,Gîte kajeon
301,Hervey Bay,AU,66.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
302,Avera,US,80.11,moderate rain,33.194,-82.5271,
303,Pedernales,DO,87.12,overcast clouds,18.0384,-71.744,Hotel Costa Marina
304,Namangan,UZ,81.05,overcast clouds,40.9983,71.6726,Oydin Plaza
307,Coari,BR,81.37,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
308,Borogontsy,RU,55.26,scattered clouds,62.6683,131.1683,
309,Vanimo,PG,78.26,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
310,Killybegs,IE,63.45,overcast clouds,54.6333,-8.45,Tara Hotel
311,Maroua,CM,83.21,broken clouds,10.591,14.3159,Maroua Palace
312,Fortuna,US,54.52,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
313,Tezu,IN,78.15,broken clouds,27.9167,96.1667,Circuit House
